ID	PAM50	Bcellsnaive	Bcellsmemory	Plasmacells	TcellsCD8	TcellsCD4naive	TcellsCD4memoryresting	TcellsCD4memoryactivated	Tcellsfollicularhelper	Tcellsregulatory(Tregs)	Tcellsgammadelta	NKcellsresting	NKcellsactivated	Monocytes	MacrophagesM0	MacrophagesM1	MacrophagesM2	Dendriticcellsresting	Dendriticcellsactivated	Mastcellsresting	Mastcellsactivated	Eosinophils	Neutrophils
B13203	LumB	0.166921283	0	0.09556567	0.047371878	0	0.247886125	0	0.018063938	0	0	0	0.033490713	0.005431947	0.048320904	0.100666692	0.139245607	0.062102262	0	0.03493298	0	0	0
B13217	Basal	0.095273635	0	0.081916298	0.090450932	0	0.039290453	0.043509369	0.093651622	0.005775679	0	0.021062517	0.059585525	0.031260734	0	0.091535108	0.197194953	0.105802406	0	0.043690769	0	0	0
B13236	Her2	0.196518048	0	0.070836299	0.047023894	0	0.120489582	0	0.079825621	0.010263652	0	0	0.045022023	0.003284943	0.002645772	0.055694267	0.146850423	0.150190665	0	0.071354812	0	0	0
B13241	LumA	0.204888886	0	0	0	0	0.141896908	0	0.035339944	0	0	0	0.018991669	0	0.020005458	0.058731466	0.199289756	0.112372136	0	0.208483776	0	0	0
B13261	LumB	0.152502918	0	0.084715802	0.041978466	0	0.387555105	0.002719675	0.011260288	0	0	0.016000763	0	0.00659906	0	0.096530941	0.124349435	0.057614597	0	0.01817295	0	0	0
B13327	LumA	0.070370916	0	0	0.03901928	0	0.173687821	0	0.03738032	0	0	0	0.035569841	0.001736134	0	0.086545677	0.305233396	0.158355169	0	0.071313776	0	0	0.02078767
B13387	LumA	0.166608886	0	0.01552953	0	0	0.061221919	0	0.051348233	0	0	0	0.018410212	0	0	0	0.395517476	0.086669339	0.073813207	0.101289994	0	0.002275068	0.027316137
B13419	LumA	0.06001861	0	0.058838811	0	0	0.207688493	0	0.154497229	0	0	0	0.029245041	0.012176348	0.04460102	0	0.235218231	0	0	0.197716218	0	0	0
B13421	LumB	0.118573013	0	0	0	0	0.272891645	0	0	0.061857288	0	0	0.018881497	0.013536537	0	0.030432642	0.315950469	0	0.006368032	0.133483938	0	0.008960829	0.01906411
B13675	Basal	0.111929943	0	0.104352887	0.141044678	0	0.272890646	0.066994421	0.023758531	0	0	0.022260553	0	0.013877706	0.020837211	0.072096927	0.119523147	0.014782238	0	0.015651113	0	0	0
B13822	Her2	0.118868178	0	0.111688858	0.080814377	0	0.163293587	0.0440416	0.04081942	0.005932311	0	0.01648822	0.06620644	0.000904423	0	0.120762698	0.195121408	0.01399897	0	0.008861943	0	0	0.012197567
B13855	LumB	0.081705013	0	0.248022242	0.051029346	0	0.142636951	0	0.035931065	0	0	0	0.048345766	0	0.005748718	0.058124078	0.222612852	0.041797111	0	0.059792964	0	0	0.004253895
B13860	LumB	0.028283001	0	0.03030608	0	0	0.233045225	0	0.003290209	0	0	0.002884633	0.038946866	0.014952795	0	0.016860893	0.361794688	0.045675979	0.037965157	0.18236174	0	0	0.003632733
B13890	LumB	0.085085868	0	0.200508193	0.044346146	0	0.14817239	0	0.023713693	0	0	0	0.02771299	0	0.047485307	0.087119048	0.206992662	0.039742526	0	0.089121176	0	0	0
B13892	LumB	0.087153377	0	0.147331308	0.10673371	0	0.117199262	0.029735225	0.038143969	0	0	0	0.022599716	0.009995388	0.033737493	0.049528006	0.26028266	0.027188536	0	0.07037135	0	0	0
B14014	LumA	0.140956588	0	0.022502493	0.058834807	0	0.277749863	0	0.05243335	0	0	0.021803155	0.019414395	0	0.021331081	0.033632916	0.2983085	0.004682125	0.008302518	0.040048209	0	0	0
B14026	LumA	0.105023869	0	0	0	0	0.359943365	0	0.061859176	0	0	0	0.00509021	0	0	0.125420559	0.205679159	0.067954994	0	0	0.069028668	0	0
B14027	LumA	0.23030425	0	0.052844002	0	0	0.169913061	0	0.03989159	0	0	0	0.008578489	0	0.028676433	0.022195043	0.254424111	0.117561417	0	0.075611603	0	0	0
B14029	LumA	0.051363689	0	0	0.013471188	0	0.010520482	0	0.104635688	0	0	0	0.037768265	0	0.424911072	0.008445651	0.197901936	0	0	0.150982029	0	0	0
B14030	Basal	0.045177204	0	0.113843517	0.153968418	0	0.056972863	0.097892293	0.073713368	0.003045314	0	0	0.066623033	0.007053308	0.074452206	0.143380358	0.163878118	0	0	0	0	0	0
B14041	LumA	0.019760316	0	0	0.029389325	0	0.09302399	0	0.009567221	0.033653357	0	0.132024576	0	0.031549293	0.024911741	0	0.353970691	0.047955288	0	0.224194202	0	0	0
B14042	LumB	0.128268306	0	0	0	0	0.167729276	0	0	0	0	0	0.05181265	0.00322841	0	0.030523544	0.490045632	0.089906349	0	0.023629849	0	0	0.014855983
B14048	LumB	0.119067311	0	0	0	0	0.240637892	0	0	0.035576382	0	0.010807813	0.006483578	0	0.168884259	0.014997618	0.297167909	0.029244623	0	0.002704953	0.054080827	0	0.020346835
B14098	LumB	0.056762544	0	0.106264406	0.091799198	0	0.125945637	0.015476671	0.03269649	0	0.013733113	0	0.022916067	0	0	0.100183645	0.277447969	0.089281441	0	0.056299076	0	0.011193743	0
B14108	Her2	0.062244246	0	0.104745452	0	0	0.091026925	0	0.002222753	0	0	0	0.040563761	0	0.289643493	0.021672298	0.239128451	0	0.060515008	0.088237614	0	0	0
B14116	Her2	0.110032068	0	0.122093095	0.056253306	0	0.25412046	0	0.057324104	0.03300792	0	0	0.037404537	0.011231249	0.009423667	0.058210743	0.147464354	0.029204704	0	0.070611857	0	0.003617937	0
B14117	Her2	0.123463826	0	0.192177511	0.048328517	0	0.291358068	0.09684386	0	0	0	0.008575803	0.00808008	0.002307722	0.008520426	0.054766652	0.162920959	0.000281185	0	0.000335166	0	0	0.002040226
B14119	LumA	0.136228966	0	0	0.046667146	0	0.163522814	0	0.017372553	0	0	0	0.026437354	0.001314878	0	0.001812784	0.292286995	0.134412853	0	0.179943656	0	0	0
B14129	Her2	0.120770907	0	0.175542768	0.016975557	0	0.185033019	0	0.007924255	0	0	0	0.012878998	0	0.00263221	0.093933767	0.323226903	0.00665786	0	0.03079175	0	0	0.023632007
B14153	Basal	0.066026495	0	0	0	0.012969984	0.222800518	0	0	0.003431448	0	0	0.064927577	0.001213777	0.025273865	0	0.261948102	0.121245117	0.018317146	0	0.201845971	0	0
B14157	Her2	0.081494629	0	0.173036802	0	0	0.178334601	0	0.005779758	0	0	0	0.048658535	0	0.016265106	0.050452779	0.392654007	0.000173256	0	0	0	0	0.053150526
B14165	LumA	0.120185705	0	0.065297826	0	0	0.212338879	0	0.007605473	0.003985659	0	0.014279526	0.012494728	0.004266558	0	0.025846428	0.325479211	0.024568244	0	0.164397374	0	0	0.019254389
B14166	Her2	0.059239406	0	0.231393996	0.022353194	0	0.204350465	0	0.028817044	0	0	0.011982726	0.007387208	0	0	0.03859649	0.291297176	0	0.077166248	0.012302099	0	0	0.015113948
B14171	LumA	0.163456069	0	0.035981938	0	0	0.221914764	0	0	0	0	0	0.01499801	0.023577849	0	0.052977269	0.252541092	0.088082539	0.003251617	0.055780221	0.035043396	0	0.052395236
B14172	Basal	0.057794533	0	0.298949525	0.016655588	0	0.251546641	0	0.052233593	0	0	0.001362327	0.005875797	0	0.031457542	0.087610845	0.193347467	0.000182487	0	0	0	0	0.002983655
B14202	Basal	0.072433874	0	0.031486465	0.115699115	0	0.263759169	0.003820599	0.025949687	0	0	0.003711827	0.001404629	0.015479794	0	0.116199881	0.235587028	0.061140284	0	0.03228535	0	0	0.021042299
B14283	Basal	0.098411426	0	0.040314937	0.15092169	0	0.088229343	0.002998197	0.119360489	0.048362622	0	0.056578016	0.002923919	0.028064406	0	0.045273705	0.248736686	0.035400645	0	0.034423918	0	0	0
B14300	LumB	0.110354712	0	0.0044777	0.003914564	0	0.112403309	0	0.053063648	0.032524171	0	0	0	0.001167173	0	0.031756693	0.435979537	0.00822916	0	0.206129333	0	0	0
B14307	LumA	0.031048647	0	0.004358079	0.023837968	0	0.078571147	0	0.00263074	0	0	0	0.031951214	0	0	0.008603022	0.603469511	0	0	0.209892469	0	0	0.005637204
B14317	LumA	0.174387605	0	0.10952705	0	0.005592709	0.317734264	0	0	0	0	0.021108108	0.029286415	0.003799184	0	0.05088014	0.110174073	0.071439301	0	0.106071151	0	0	0
B14325	Basal	0.092532018	0	0.228256545	0.101214508	0	0.111127021	0.039679864	0.035266059	0	0	0.033640001	0.010439216	0	0.062014322	0.079470906	0.191168401	0	0	0	0.009833293	0	0.005357846
B14327	Basal	0.03916089	0	0.008694329	0	0	0.080350022	0	0.073724445	0	0	0	0.052585703	0	0.018299278	0.016776658	0.375539589	0	0	0.297679269	0	0	0.037189818
B14339	Basal	0.202739443	0	0.074157694	0	0.012630284	0.181895481	0	0	0	0	0.023544813	0	0	0	0.094649046	0.33661246	0.022228024	0	0.043983318	0	0	0.007559437
B14375	LumA	0.170421247	0	0.045946934	0	0	0.259975374	0	0.01842279	0.043045172	0	0.058097919	0	0.004821366	0.032501431	0.003672481	0.145136334	0.024051825	0	0.193907128	0	0	0
B14377	LumA	0.191062258	0	0.051727221	0	0	0.187195512	0	0.136492435	0	0	0.031653655	0	0.037715045	0.003764544	0.101761941	0.08599756	0.045152857	0	0.09179762	0	0.035679352	0
B14389	LumA	0.091476978	0	0.034848355	0.013887995	0	0.198422529	0	0.020777814	0	0	0	0.05188142	0.033634246	0	0.020560863	0.269588661	0.067422875	0	0	0.159325801	0.033659758	0.004512705
B14392	LumB	0.071149011	0	0.129751643	0.125000323	0	0.242333482	0.027476381	0.021432215	0	0.035339836	0	0.015361847	0	0	0.085209727	0.096080375	0.051227659	0	0.0996375	0	0	0
B14402	LumB	0.157974903	0	0.154460153	0.007317009	0	0.171684332	0	0.037112306	0.027606663	0	0	0.04367517	0.006480877	0.01166214	0.037384231	0.211873687	0.056533268	0.000494806	0.075740455	0	0	0
B14416	LumB	0.173122097	0	0	0	0	0.114856933	0	0.067610956	0	0	0	0.024685983	0	0	0.031169123	0.365881776	0.081265574	0	0.141407557	0	0	0
B14420	LumA	0.191283064	0	0.161451235	0	0	0.203699768	0	0	0.020540006	0	0.052621295	0	0	0.160736284	0	0.19486607	0	0.008063605	0	0.006738673	0	0
B14432	Basal	0.071033412	0	0.058171513	0.006827203	0	0.256073745	0	0.151925639	0	0	0	0.018370111	0.014521057	0.043446851	0.067461722	0.206290883	0	0.026467829	0.079410035	0	0	0
B14461	LumA	0.180993768	0	0.070025137	0.055837857	0	0.183090774	0	0.045191723	0	0	0	0.023335047	0	0	0.066783314	0.197142869	0.107123413	0	0.070476098	0	0	0
B14470	LumB	0.021823256	0	0	0	0	0.213215285	0	0.056185554	0.091035992	0	0.019274391	0.030808528	0.020836888	0	0.034968767	0.374143912	0.027371613	0.00475279	0.105583025	0	0	0
B15001	Her2	0.032679598	0	0.083863255	0.031462465	0	0.198219328	0	0.019698597	0	0	0	0.010401308	0	0	0.08277478	0.220842949	0.289468585	0	0.015310206	0	0.000607815	0.014671113
B15060	LumA	0.042743321	0	0.001084191	0	0	0.101714035	0	0	0.068411023	0	0.016971318	0.011553658	0	0.132552233	0	0.607450974	0	0.003080522	0	0.005015218	0	0.009423508
B15066	LumB	0.138176153	0	0.114313814	0.02709639	0	0.321449828	0	0	0	0	0	0.012317538	0	0	0.059544108	0.248013242	0.007735274	0	0.056073711	0	0.015279942	0
B15080	LumB	0.093232343	0	0	0.058492399	0	0.109433013	0	0.08258302	0.026940914	0	0.006538577	0.01908385	0	0.171333669	0.02686022	0.206175176	0	0	0.199326819	0	0	0
B15085	LumB	0.244649079	0	0	0	0	0.166734934	0	0.167738028	0.047603857	0	0.020147181	0.000436154	0.019340193	0.088191844	0.055757867	0.11701842	0	0	0.065644406	0	0.006738039	0
B15095	LumA	0.399522313	0.008765785	0.013346112	0	0	0.271469828	0.029918514	0.013818635	0	0	0.005914757	0	0	0.025384444	0.053068761	0.01911667	0.065316727	0	0.069902912	0	0.024454544	0
B15098	LumA	0.094829145	0	0.394002053	0.005859278	0	0.218914649	0	0	0	0	0.024319582	0.015588751	0	0.088978487	0.018016343	0.043365208	0.013169638	0	0.080897495	0.002059371	0	0
B15109	LumB	0.046987712	0	0.023076273	0	0	0.21040346	0	0.003828211	0	0	0.011395166	0.022516453	0	0	0	0.5210074	0	0	0	0.107226682	0.015849485	0.037709157
B15113	LumB	0.091586117	0	0.059391248	0.046453245	0	0.179519905	0	0.028928994	0	0	0.000203227	0.013393067	0	0.100236838	0.058722295	0.322214473	0.01889121	0	0.062884583	0	0	0.017574798
B15119	LumA	0.04029099	0	0.039155267	0	0	0.272552283	0	0.045824328	0.088035431	0	0.008885117	0.046886947	0.01675192	0.047341698	0.111762203	0.173352437	0.046319954	0	0.041345996	0.021495429	0	0
B15133	LumA	0.013129311	0	0.013277197	0.010181319	0	0.082216327	0	0	0.015733076	0	0	0.022443591	0	0.365633051	0.04486542	0.257739061	0.051024876	0	0.114610289	0	0	0.009146482
B15146	LumB	0.105203961	0	0.080724493	0.000780042	0	0.101870103	0	0.015552996	0.016616074	0	0	0.029616499	0	0.057488659	0.003903772	0.496293163	0	0	0.063402499	0	0	0.028547739
B15152	LumB	0.178739525	0	0.131640755	0	0	0.246066107	0	0.030368244	0	0	0.055108011	0	0	0	0.01454309	0.182978733	0.049133184	0	0.084664628	0	0.026757722	0
B15165	LumA	0.08055784	0	0.069320307	0	0	0.172246872	0	0.042892468	0	0	0.010949561	0.049513034	0.016591538	0	0.011687623	0.204564079	0.021097943	0	0.320578736	0	0	0
B15204	LumA	0.244226557	0	0.178140253	0.031581428	0	0.072132028	0	0.014725467	0	0	0	0.03575883	0	0	0.017697951	0.212090177	0.067090097	0	0.115866172	0	0	0.010691039
B15220	Her2	0	0	0.294184716	0	0	0.155722603	0	0.045158661	0.023489184	0	0.089730148	0	0	0.112802342	0.032043653	0.137325874	0	0	0.101981433	0	0.007561385	0
B15231	Her2	0.107117348	0	0.185848096	0	0	0.169594345	0	0.006093386	0	0	0	0.026146407	0	0.019420357	0.063802435	0.190905755	0.089105491	0	0.095023499	0	0.003349772	0.043593109
B15238	Normal	0.16824804	0	0.114189519	0.092059391	0	0.14830348	0	0.048193418	0.006068094	0	0	0.017340887	0	0	0.063347937	0.23922252	0.06330908	0	0.024037092	0	0	0.015680541
B15245	LumB	0.065147348	0	0.092998187	0.217733663	0	0.111719907	0.046173405	0.036217781	0.003870643	0	0	0.037070864	0	0.027083973	0.07608042	0.175629538	0.025044137	0	0.083458179	0	0	0.001771956
B15279	Her2	0.060737016	0	0.169378548	0	0	0.214648747	0	0	0	0	0	0.049851501	0	0.019228182	0.061688005	0.233304818	0.088614688	0	0.055330411	0	0	0.047218083
B15280	Her2	0.133842033	0	0.223493681	0.024950833	0	0.241934135	0.000186136	0.012677335	0.001424534	0	0	0.027133262	0	0	0.055049959	0.173930934	0.031967811	0.016989956	0.041981656	0	0	0.014437735
B15290	Her2	0.075888457	0	0.370175142	0	0	0.190046946	0	0.017857238	0.018457009	0	0.016349137	0.011689059	0.012544594	0.074196394	0.039874952	0.071941917	0	0	0.100979156	0	0	0
B15298	Her2	0.086783481	0	0.100189862	0.051748181	0	0.180350466	0	0.053942075	0	0	0.02713417	0.010690488	0	0.034762732	0.034253926	0.34771037	0	0	0.042798302	0	0	0.029635945
B15312	Her2	0.102793213	0	0.072075246	0.042116932	0	0.261344191	0.034559869	0.005508957	0	0	0	0.014439177	0	0.098225157	0.082652141	0.102698884	0.131358159	0	0.033105642	0	0.006938731	0.012183702
B15317	LumB	0.055936663	0	0.000378721	0	0	0.310368776	0	0.031322466	0	0	0	0.008861681	0	0.21502351	0.079493505	0.155826806	0.043318972	0	0.0994689	0	0	0
B15320	LumB	0.100492159	0	0.09951116	0.039740847	0	0.307796184	0.000738323	0.042823856	0	0	0.018477772	0	0.035500411	0.051596754	0.09548763	0.157639009	0.033592567	0	0.003252046	0	0	0.013351281
B15325	LumB	0.091555454	0	0	0	0	0.117837476	0	0.03356858	0.053986874	0	0	0.025636899	0	0.314051911	0.116926916	0.162960129	0	0	0.076980714	0.006495048	0	0
B15326	LumB	0	0	0	0	0	0.066941171	0	0.068220252	0	0	0.014120099	0.018930331	0	0	0	0.46470757	0.082251556	0	0.052845799	0.144061728	0	0.087921492
B15345	LumB	0.144595437	0	0.098675212	0.016208098	0	0.257714839	0	0.055032703	0.01743763	0	0	0.017250804	0	0.031587966	0.050894276	0.218148291	0.005026235	0.004029003	0.072578541	0	0	0.010820965
B15361	Basal	0.026129629	0	0.034199153	0.13449116	0	0.08948532	0.020041689	0.114407108	0	0	0	0.056303005	0	0.098886138	0.200106979	0.192291479	0	0	0.033658339	0	0	0
B15362	LumB	0.190137991	0	0.069975721	0	0	0.165829251	0	0.083952982	0.024983024	0	0	0	0.009100797	0.104229076	0.112783322	0.032317181	0.101929362	0	0.104761294	0	0	0
B16029	LumB	0.087059203	0	0	0.087129392	0	0.13683589	0	0.002511289	0.064815232	0	0.064903662	0	0.052453602	0	0.014071304	0.317031753	0	0	0.158177109	0	0.015011562	0
B16030	Her2	0.184111744	0	0.182848285	0.057351778	0	0.190056294	0.018099717	0.034195513	0	0	0	0.013688054	0	0.057970633	0.084240567	0.119428019	0.010350764	0	0.046078165	0	0	0.001580466
B16083	Her2	0.071192168	0	0.252637017	0.132632594	0	0.039187719	0.098866793	0.034782623	0	0	0	0.024676125	0	0.029183125	0.059156377	0.131918906	0.058030163	0.039859353	0.013298245	0	0	0.014578792
B16084	LumA	0.150570096	0	0.146260421	0.042729052	0	0.193172779	0	0.079245409	0	0	0	0.036882243	0.0007648	0.025609362	0.090194966	0.115246474	0.036838194	0	0.082486203	0	0	0
B16085	Her2	0.15688297	0	0.049950405	0	0	0.248262305	0	0.06650416	0.014504767	0	0	0.020202132	0.019021712	0.04219106	0.061007753	0.238550206	0.054429514	0	0	0.019321967	0	0.00917105
B16087	LumA	0.05909619	0	0.079298602	0	0	0.307723502	0	0	0	0	0.122048966	0	0	0.053935195	0	0.179492474	0	0	0.189965307	0	0.008439766	0
B16096	Basal	0.064281231	0	0.099218214	0.094551586	0	0.17679762	0	0.012350748	0.008396196	0	0	0.064488267	0.040434038	0.118235446	0.119113281	0.16949494	0.011377523	0	0	0.004390852	0	0.016870058
B16105	LumA	0.101363289	0	0.059066652	0.087694496	0	0.087297848	0	0.035745814	8.43E-06	0	0	0.034056618	0.000348064	0	0.020459552	0.503427338	0.04654306	0	0.020628355	0	0	0.00336048
B16129	LumA	0.078600161	0	0	0	0	0.298211899	0	0.00616892	0.040040142	0	0.022039768	0.024675082	0.028297047	0	0	0.328318692	0.012011181	0	0.147219544	0	0.014417564	0
B16141	LumB	0.110452472	0	0	0.018576586	0	0.222093809	0	0.016428883	0	0	0	0.029139386	0.014284376	0	0.010081307	0.392546299	0	0	0.186396883	0	0	0
B16149	Basal	0.05988165	0	0	0.003450516	0	0.095854145	0	0.011102898	0	0	0	0.028317734	0	0.036669514	0	0.123008875	0.017351526	0.159942018	0	0.231678567	0.060919295	0.171823263
B16182	Basal	0.101773752	0	0	0	0	0.480596304	0	0	0	0	0.030904724	0	0.014059595	0	0.06296987	0.099687222	0.108097635	0	0.090890115	0	0.011020783	0
B16188	LumA	0.101116356	0	0.022927656	0	0	0.09562891	0	0.017139252	0	0	0	0.026106097	0	0.309060601	0.031248513	0.304155274	0.036432906	0	0.052751239	0.003433196	0	0
B16191	LumB	0.076080866	0	0.226214207	0.054541805	0	0.120528481	0	0.04634023	0	0	0	0.057252699	0.014739013	0	0.096451225	0.188653746	0.068389545	0	0.050808182	0	0	0
B16208	LumA	0.089539564	0	0	0	0	0.321091714	0	0.205642207	0.011578775	0	0	0.053564604	0.041067414	0.15765121	0	0.019486128	0.022747594	0	0	0.071056614	0.006574177	0
B16214	Her2	0.068229123	0	0	0	0	0.191340353	0	0	0.007427138	0	0.047383822	0	0	0.155998322	0.025064184	0.383945921	0	0	0.076413254	0	0	0.044197884
B16226	LumB	0.116900774	0	0.024514476	0.035359447	0	0.177346815	0.030494446	0	0	0	0.029272085	0	0	0	0.066862435	0.177315532	0.098242144	0	0.234944372	0	0	0.008747473
B16227	Her2	0.088575956	0	0	0	0	0.073324913	0	0.025008597	0.050406402	0	0.140971485	0	0	0.315634256	0.000133125	0.284760013	0	0.011856093	0.009329159	0	0	0
B16236	Her2	0.106906117	0	0.036299716	0	0	0.158474728	0	0.009811498	0.013801168	0	0.007729687	0.021085909	0	0.171271008	0	0.363991811	0	0.085702048	0	0	0	0.024926309
B16239	LumB	0.068714302	0	0.011303986	0	0	0.144040064	0	0	0.001888314	0	0	0.015964377	0	0.211550216	0.032625758	0.345756229	0	0	0.167957936	0	0	0.000198819
B16246	LumA	0.128920288	0	0.012568633	0	0	0.344356036	0	0.036316171	0	0.000374625	0	0.000146627	0	0	0.076275636	0.232797721	0.1067443	0	0	0.033642109	0.020146775	0.00771108
B16250	LumB	0.079093645	0	0.124245701	0.026801114	0	0.293460567	0.002825453	0	0	0	0.023935432	0	0	0	0.071997256	0.215091315	0.055112041	0	0.101784019	0	0	0.005653456
B16254	LumA	0.094931506	0	0.004543035	0	0	0.248628314	0.02106571	0.011638366	0	0	0.017831062	0	0	0	0.055088544	0.208104846	0.156506497	0	0.146849334	0	0.022389912	0.012422873
B16257	LumA	0.173922302	0	0.063676433	0	0	0.114191705	0	0.016355603	0	0	0	0.034035224	0	0	0.008607952	0.425371566	0.034133179	0	0.075459507	0	0	0.054246529
B16268	Basal	0.067236216	0	0.005548574	0	0	0.208047112	0	0.000335398	0.00580029	0	0.061762954	0	0.029782006	0.12287195	0	0.37956374	0.03532129	0.030027022	0.050169616	0	0	0.003533833
B16288	Basal	0.037052812	0	0.061533458	0.097402117	0	0.203086421	0.088598081	0.024341275	0	0	0	0.038391682	0.002420942	0.057996947	0.185806377	0.130179638	0.057934877	0	0.009158699	0	0	0.006096674
B16291	LumA	0.126327428	0	0.063505991	0	0	0.161919778	0	0.027941312	0.025017383	0	0	0.041061295	0.010348232	0.048682324	0.087000892	0.306220086	0.032808151	0	0.06916713	0	0	0
B16303	LumB	0.125725708	0	0.134513718	0.021103001	0	0.270704782	0.054200634	0.040201488	0	0	0.042194074	0.000136469	0.004921829	0.004950426	0.045901473	0.124559616	0.0014893	0.015781548	0.113615934	0	0	0
